User_ID,Age,Gender,Annual_Income,Membership_Type,Membership_Duration,Frequency_of_Visit,Preferred_Time,Previous_Membership,Marital_Status,Location,Promotion_Response,Health_Condition,Membership_Prediction,Professional,Professional_Status
1,56,Male,110848,VIP,37,3,Afternoon,No,Married,Urban,No,Average,Yes,Late Career,Working
2,69,Male,42402,Premium,55,5,Afternoon,Yes,Divorced,Urban,No,Good,No,Retired,Retired
3,46,Other,70426,VIP,51,5,Evening,No,Single,Rural,No,Good,Yes,Employed,Working
4,32,Male,70739,Premium,4,1,Afternoon,No,Single,Urban,No,Poor,Yes,Employed,Working
5,60,Female,58097,Premium,56,3,Evening,No,Single,Rural,No,Average,Yes,Late Career,Working
6,25,Male,36414,VIP,22,3,Afternoon,Yes,Divorced,Rural,Yes,Average,No,Early Career,Working
7,38,Other,64909,Premium,56,2,Afternoon,Yes,Divorced,Urban,No,Good,No,Employed,Working
8,56,Male,80686,VIP,11,4,Morning,No,Married,Urban,No,Average,Yes,Late Career,Working
9,36,Male,61242,Premium,34,6,Morning,No,Divorced,Rural,No,Average,No,Employed,Working
10,40,Female,93498,VIP,45,2,Morning,Yes,Divorced,Suburban,No,Average,No,Employed,Working
11,28,Female,35522,Basic,16,4,Evening,Yes,Divorced,Urban,Yes,Poor,No,Early Career,Working
12,28,Male,31621,Basic,9,2,Evening,No,Single,Rural,Yes,Good,No,Early Career,Working
13,41,Male,56654,Premium,16,4,Morning,Yes,Married,Urban,No,Excellent,Yes,Employed,Working
14,70,Male,57125,Premium,39,6,Morning,Yes,Divorced,Rural,No,Poor,Yes,Retired,Retired
15,53,Male,69010,Premium,16,1,Afternoon,Yes,Divorced,Urban,No,Good,No,Employed,Working
16,57,Male,82693,Premium,31,4,Evening,Yes,Divorced,Urban,No,Poor,No,Late Career,Working
17,41,Female,45615,Basic,31,6,Afternoon,Yes,Single,Urban,No,Excellent,Yes,Employed,Working
18,20,Male,-507,Basic,13,2,Afternoon,Yes,Married,Rural,Yes,Poor,Yes,Student,In Education
19,39,Male,70933,Premium,5,3,Morning,Yes,Married,Suburban,No,Poor,No,Employed,Working
20,70,Female,47335,Premium,59,5,Afternoon,No,Divorced,Rural,No,Excellent,Yes,Retired,Retired
21,19,Other,14245,Basic,47,6,Afternoon,Yes,Married,Urban,Yes,Average,No,Student,In Education
22,41,Female,79300,VIP,39,6,Morning,No,Single,Urban,No,Good,No,Employed,Working
23,61,Male,94355,VIP,18,6,Morning,No,Divorced,Urban,No,Excellent,Yes,Late Career,Working
24,47,Male,81014,VIP,59,4,Afternoon,No,Married,Suburban,No,Poor,Yes,Employed,Working
25,55,Female,54428,Premium,20,4,Afternoon,No,Divorced,Suburban,No,Average,No,Employed,Working
26,19,Male,43455,VIP,55,3,Afternoon,No,Single,Suburban,No,Poor,No,Student,In Education
27,38,Male,98974,VIP,2,1,Evening,No,Divorced,Urban,No,Average,Yes,Employed,Working
28,50,Female,57978,Premium,40,2,Afternoon,Yes,Single,Rural,No,Poor,No,Employed,Working
29,29,Female,32519,Basic,30,1,Morning,Yes,Divorced,Urban,Yes,Good,No,Early Career,Working
30,39,Female,38343,Basic,10,4,Afternoon,No,Divorced,Rural,Yes,Good,No,Employed,Working
31,61,Male,114985,VIP,42,4,Evening,No,Married,Urban,No,Poor,No,Late Career,Working
32,42,Male,73164,Premium,11,6,Afternoon,Yes,Married,Suburban,No,Excellent,No,Employed,Working
33,66,Other,50142,Premium,53,6,Evening,Yes,Single,Urban,No,Poor,Yes,Retired,Retired
34,44,Male,65196,Premium,29,1,Evening,No,Single,Suburban,No,Poor,No,Employed,Working
35,59,Female,68975,Premium,53,2,Morning,No,Single,Suburban,No,Excellent,No,Late Career,Working
36,45,Female,51919,Premium,40,4,Afternoon,No,Married,Suburban,No,Excellent,No,Employed,Working
37,33,Female,68152,Premium,16,4,Evening,Yes,Divorced,Suburban,No,Poor,Yes,Employed,Working
38,32,Male,59610,Premium,48,1,Afternoon,Yes,Single,Rural,No,Average,Yes,Employed,Working
39,64,Male,133775,VIP,28,5,Evening,Yes,Divorced,Suburban,No,Good,Yes,Late Career,Working
40,68,Female,43300,Basic,17,6,Morning,No,Divorced,Rural,No,Average,Yes,Retired,Retired
41,61,Female,86967,VIP,38,3,Morning,Yes,Married,Urban,No,Excellent,Yes,Late Career,Working
42,69,Female,87739,VIP,50,4,Afternoon,No,Married,Suburban,No,Good,Yes,Retired,Retired
43,20,Male,34118,Basic,49,2,Afternoon,No,Divorced,Suburban,Yes,Poor,No,Student,In Education
44,54,Male,67580,Premium,44,5,Afternoon,Yes,Single,Urban,No,Good,No,Employed,Working
45,68,Female,76902,Premium,15,1,Afternoon,Yes,Married,Suburban,No,Poor,No,Retired,Retired
46,24,Female,30408,Basic,31,1,Afternoon,Yes,Divorced,Urban,Yes,Poor,Yes,Early Career,Working
47,38,Female,49697,Premium,7,2,Evening,No,Married,Urban,No,Excellent,Yes,Employed,Working
