User_ID,Age,Gender,Annual_Income,Membership_Type,Membership_Duration,Frequency_of_Visit,Preferred_Time,Previous_Membership,Marital_Status,Location,Promotion_Response,Health_Condition,Membership_Prediction,Professional,Professional_Status
1,56,Male,95635,VIP,41,6,Evening,No,Married,Suburban,No,Excellent,Yes,Late Career,Working
2,69,Other,69800,Premium,24,4,Evening,Yes,Married,Suburban,No,Excellent,Yes,Retired,Retired
3,46,Female,66158,Premium,20,4,Evening,Yes,Married,Urban,No,Good,No,Employed,Working
4,32,Male,81401,Premium,6,6,Evening,Yes,Married,Urban,No,Poor,Yes,Employed,Working
5,60,Female,77375,Premium,25,5,Afternoon,No,Married,Urban,No,Good,No,Late Career,Working
6,25,Female,31694,Basic,15,2,Evening,No,Single,Urban,Yes,Average,Yes,Early Career,Working
7,38,Male,41212,Premium,52,1,Morning,No,Married,Rural,No,Average,Yes,Employed,Working
8,56,Male,92042,VIP,14,6,Evening,No,Married,Urban,No,Good,No,Late Career,Working
9,36,Male,83144,Basic,25,3,Evening,No,Married,Urban,No,Good,Yes,Employed,Working
10,40,Male,69835,VIP,5,1,Afternoon,No,Married,Urban,No,Good,Yes,Employed,Working
11,28,Female,42168,VIP,57,2,Morning,No,Divorced,Suburban,No,Excellent,No,Early Career,Working
12,28,Male,54610,Premium,33,6,Afternoon,No,Divorced,Suburban,No,Average,Yes,Early Career,Working
13,41,Female,54086,Premium,53,3,Morning,Yes,Divorced,Urban,No,Average,No,Employed,Working
14,70,Other,25882,Basic,17,3,Morning,Yes,Divorced,Rural,Yes,Good,Yes,Retired,Retired
15,53,Male,57042,Premium,48,6,Evening,No,Married,Rural,No,Good,Yes,Employed,Working
16,57,Female,76014,Premium,33,3,Afternoon,Yes,Single,Urban,No,Good,No,Late Career,Working
17,41,Female,66029,VIP,21,4,Afternoon,Yes,Divorced,Suburban,No,Excellent,No,Employed,Working
18,20,Female,34316,Basic,31,4,Evening,No,Single,Suburban,Yes,Good,No,Student,In Education
19,39,Female,86415,VIP,11,6,Afternoon,No,Divorced,Urban,No,Excellent,Yes,Employed,Working
20,70,Male,59755,Premium,26,1,Evening,No,Married,Rural,No,Average,Yes,Retired,Retired
21,19,Male,26060,Basic,33,5,Evening,Yes,Single,Urban,Yes,Excellent,No,Student,In Education
22,41,Female,85736,Premium,57,5,Morning,Yes,Married,Suburban,No,Poor,Yes,Employed,Working
23,61,Other,73947,Premium,42,4,Morning,Yes,Married,Suburban,No,Excellent,No,Late Career,Working
24,47,Male,73518,Basic,13,1,Evening,No,Divorced,Suburban,No,Good,Yes,Employed,Working
25,55,Female,41991,Premium,30,3,Morning,No,Single,Rural,No,Good,No,Employed,Working
26,19,Male,13442,Basic,41,2,Evening,No,Single,Urban,Yes,Poor,No,Student,In Education
27,38,Other,69074,Basic,33,2,Afternoon,No,Married,Urban,No,Poor,Yes,Employed,Working
28,50,Female,67757,Basic,23,5,Morning,No,Divorced,Suburban,No,Excellent,Yes,Employed,Working
29,29,Male,35155,Premium,10,6,Morning,No,Married,Urban,Yes,Poor,Yes,Early Career,Working
30,39,Female,50171,Premium,6,6,Evening,No,Married,Urban,No,Excellent,Yes,Employed,Working
31,61,Male,113965,VIP,34,3,Afternoon,Yes,Divorced,Suburban,No,Average,No,Late Career,Working
32,42,Male,99334,VIP,38,6,Morning,No,Divorced,Urban,No,Excellent,Yes,Employed,Working
33,66,Male,17635,VIP,30,5,Morning,No,Single,Urban,No,Poor,No,Student,In Education
34,44,Male,90529,Basic,33,1,Evening,No,Married,Urban,No,Average,Yes,Employed,Working
35,59,Male,81934,Basic,56,5,Afternoon,No,Single,Urban,No,Average,Yes,Late Career,Working
36,45,Female,61919,Premium,46,2,Evening,No,Single,Suburban,No,Excellent,Yes,Employed,Working
37,33,Female,48988,Premium,21,1,Morning,No,Divorced,Urban,No,Poor,Yes,Employed,Working
38,32,Male,89951,VIP,7,1,Afternoon,Yes,Single,Rural,No,Excellent,No,Employed,Working
39,64,Female,59517,Premium,42,2,Evening,No,Single,Urban,No,Excellent,No,Late Career,Working
40,68,Female,52327,Premium,10,6,Afternoon,No,Married,Suburban,No,Excellent,No,Retired,Retired
41,61,Other,78677,Premium,50,5,Evening,Yes,Divorced,Rural,No,Average,No,Late Career,Working
42,69,Female,44414,VIP,7,1,Morning,No,Single,Urban,No,Excellent,Yes,Retired,Retired
43,20,Male,5785,Basic,9,6,Evening,Yes,Single,Rural,Yes,Poor,No,Student,In Education
44,54,Female,41289,Premium,6,5,Morning,No,Married,Rural,No,Excellent,No,Employed,Working
45,68,Female,79232,VIP,4,3,Morning,Yes,Single,Urban,No,Poor,Yes,Retired,Retired
46,24,Male,38428,Basic,31,1,Evening,No,Divorced,Rural,Yes,Excellent,Yes,Early Career,Working
47,38,Male,89008,VIP,50,2,Afternoon,Yes,Married,Urban,No,Excellent,Yes,Employed,Working
48,26,Male,46208,Premium,26,2,Morning,No,Divorced,Urban,No,Average,No,Early Career,Working
49,56,Male,110268,Basic,9,5,Evening,No,Single,Rural,No,Excellent,Yes,Late Career,Working
50,35,Male,59097,Premium,1,4,Afternoon,No,Divorced,Urban,No,Average,Yes,Employed,Working
51,21,Female,20722,Basic,38,3,Afternoon,No,Married,Suburban,Yes,Good,Yes,Student,In Education
52,42,Male,78906,Basic,13,4,Afternoon,No,Single,Rural,No,Good,No,Employed,Working
53,31,Female,54163,Premium,59,5,Evening,No,Married,Rural,No,Poor,No,Employed,Working
54,67,Female,71152,VIP,30,4,Evening,No,Married,Suburban,No,Good,Yes,Retired,Retired
55,26,Male,34394,Basic,21,5,Afternoon,Yes,Divorced,Rural,Yes,Excellent,Yes,Early Career,Working
56,43,Male,94041,VIP,59,6,Evening,No,Single,Suburban,No,Good,Yes,Employed,Working
57,70,Male,89561,VIP,4,3,Afternoon,Yes,Single,Urban,No,Excellent,Yes,Retired,Retired
58,19,Male,45316,Premium,8,5,Afternoon,Yes,Married,Suburban,No,Excellent,Yes,Student,In Education
59,37,Male,104127,VIP,16,5,Afternoon,Yes,Divorced,Suburban,No,Good,No,Employed,Working
60,45,Male,88272,VIP,9,5,Morning,No,Married,Suburban,No,Excellent,No,Employed,Working
61,64,Female,75468,VIP,60,3,Afternoon,No,Married,Suburban,No,Average,No,Late Career,Working
62,24,Female,35340,Basic,45,4,Afternoon,No,Single,Suburban,Yes,Excellent,No,Early Career,Working
63,61,Male,126857,Basic,14,5,Morning,Yes,Divorced,Suburban,No,Poor,Yes,Late Career,Working
64,25,Male,28611,Basic,9,4,Evening,No,Single,Rural,Yes,Average,Yes,Early Career,Working
65,64,Female,80901,Basic,32,2,Afternoon,Yes,Single,Suburban,No,Average,Yes,Late Career,Working
66,52,Female,74385,VIP,36,6,Evening,No,Single,Urban,No,Excellent,No,Employed,Working
67,31,Female,56073,Premium,28,2,Evening,Yes,Divorced,Rural,No,Poor,No,Employed,Working
68,34,Female,80594,Basic,16,2,Afternoon,Yes,Married,Urban,No,Average,Yes,Employed,Working
69,53,Male,80593,Premium,12,3,Morning,Yes,Divorced,Rural,No,Poor,No,Employed,Working
70,67,Male,78697,VIP,32,6,Evening,Yes,Divorced,Urban,No,Good,Yes,Retired,Retired
71,57,Female,70681,Basic,47,5,Afternoon,No,Married,Urban,No,Average,No,Late Career,Working
72,21,Male,12941,Basic,52,5,Evening,Yes,Divorced,Urban,Yes,Average,Yes,Student,In Education
73,19,Other,18637,Basic,54,5,Morning,Yes,Divorced,Urban,Yes,Poor,Yes,Student,In Education
74,23,Female,48181,Premium,17,1,Evening,Yes,Divorced,Suburban,No,Average,Yes,Early Career,Working
75,59,Female,79171,Premium,10,2,Morning,Yes,Single,Urban,No,Poor,Yes,Late Career,Working
76,21,Male,17116,Basic,50,3,Afternoon,Yes,Divorced,Rural,Yes,Good,No,Student,In Education
77,46,Female,96321,Basic,43,4,Evening,No,Divorced,Suburban,No,Poor,No,Employed,Working
78,35,Female,41393,VIP,56,6,Morning,No,Single,Urban,No,Average,No,Employed,Working
79,43,Male,88459,VIP,5,6,Evening,Yes,Divorced,Rural,No,Excellent,No,Employed,Working
80,61,Male,90544,VIP,29,5,Evening,No,Single,Suburban,No,Poor,No,Late Career,Working
81,51,Female,49575,Premium,58,4,Evening,Yes,Married,Rural,No,Average,No,Employed,Working
82,27,Female,33091,Basic,25,5,Evening,Yes,Married,Suburban,Yes,Average,Yes,Early Career,Working
83,53,Male,97027,VIP,37,2,Morning,Yes,Single,Urban,No,Average,No,Employed,Working
84,31,Male,81775,Premium,27,2,Evening,No,Single,Suburban,No,Poor,No,Employed,Working
85,48,Female,59466,Premium,43,1,Afternoon,Yes,Single,Urban,No,Poor,Yes,Employed,Working
86,65,Female,66998,Premium,8,1,Evening,No,Divorced,Suburban,No,Good,Yes,Late Career,Working
87,32,Female,45675,Premium,45,5,Afternoon,Yes,Single,Rural,No,Average,No,Employed,Working
88,25,Female,28680,Basic,22,4,Evening,No,Divorced,Urban,Yes,Good,No,Early Career,Working
89,31,Male,88820,VIP,33,1,Afternoon,No,Divorced,Suburban,No,Excellent,No,Employed,Working
90,40,Female,82430,VIP,8,3,Evening,No,Single,Urban,No,Average,No,Employed,Working
91,57,Male,97035,Basic,7,2,Evening,Yes,Single,Urban,No,Average,No,Late Career,Working
92,38,Female,75118,VIP,31,4,Evening,Yes,Divorced,Suburban,No,Poor,Yes,Employed,Working
93,33,Female,66632,Premium,1,5,Morning,No,Divorced,Suburban,No,Good,Yes,Employed,Working
94,62,Male,101053,VIP,57,5,Afternoon,Yes,Married,Suburban,No,Average,No,Late Career,Working
95,35,Male,52208,Premium,50,2,Afternoon,Yes,Married,Urban,No,Excellent,No,Employed,Working
96,64,Female,53047,Premium,37,4,Afternoon,No,Married,Rural,No,Excellent,Yes,Late Career,Working
97,70,Male,71645,Premium,49,3,Afternoon,Yes,Married,Urban,No,Poor,No,Retired,Retired
98,41,Male,50533,Premium,56,5,Morning,No,Single,Urban,No,Excellent,Yes,Employed,Working
99,43,Female,42403,VIP,44,2,Morning,Yes,Divorced,Rural,No,Average,No,Employed,Working
100,42,Male,63881,Premium,46,1,Morning,No,Married,Rural,No,Average,Yes,Employed,Working
101,62,Female,107309,VIP,60,6,Afternoon,Yes,Single,Suburban,No,Poor,Yes,Late Career,Working
102,58,Male,68551,Premium,3,2,Afternoon,Yes,Divorced,Rural,No,Poor,No,Late Career,Working
103,46,Female,76234,Premium,28,2,Afternoon,No,Single,Urban,No,Poor,No,Employed,Working
104,32,Male,78092,Basic,51,1,Evening,Yes,Married,Urban,No,Poor,Yes,Employed,Working
105,62,Male,101996,VIP,10,6,Morning,Yes,Single,Rural,No,Poor,Yes,Late Career,Working
106,18,Female,299,Basic,34,3,Morning,No,Married,Rural,Yes,Excellent,No,Student,In Education
107,42,Female,66141,Premium,22,2,Evening,No,Divorced,Urban,No,Poor,Yes,Employed,Working
108,24,Male,33898,Basic,54,2,Morning,Yes,Married,Urban,Yes,Excellent,Yes,Early Career,Working
109,26,Male,48143,Basic,60,6,Morning,No,Married,Urban,No,Average,Yes,Early Career,Working
110,41,Female,64870,Basic,5,2,Afternoon,No,Single,Urban,No,Excellent,Yes,Employed,Working
111,18,Female,8979,Basic,33,4,Evening,Yes,Divorced,Rural,Yes,Average,No,Student,In Education
112,61,Other,89349,VIP,49,5,Morning,No,Single,Suburban,No,Average,Yes,Late Career,Working
113,25,Other,53552,Premium,21,4,Afternoon,Yes,Married,Suburban,No,Good,No,Early Career,Working
114,41,Female,90207,Basic,59,6,Evening,No,Divorced,Suburban,No,Excellent,No,Employed,Working
115,28,Male,37812,Basic,35,6,Evening,Yes,Married,Rural,Yes,Poor,Yes,Early Career,Working
116,68,Female,42643,Premium,56,2,Morning,No,Single,Urban,No,Average,Yes,Retired,Retired
117,34,Female,54067,Premium,59,2,Afternoon,Yes,Single,Suburban,No,Poor,Yes,Employed,Working
118,25,Male,20504,Basic,32,6,Morning,No,Married,Rural,Yes,Excellent,Yes,Early Career,Working
119,52,Male,91150,Basic,57,1,Evening,No,Single,Urban,No,Excellent,Yes,Employed,Working
120,52,Male,62722,Premium,23,1,Evening,Yes,Divorced,Rural,No,Good,Yes,Employed,Working
121,50,Male,85458,VIP,24,7,Evening,Yes,Single,Suburban,No,Excellent,No,Employed,Working
122,22,Male,22755,Basic,52,2,Afternoon,No,Married,Urban,Yes,Poor,Yes,Student,In Education
123,59,Female,66675,Basic,23,7,Afternoon,No,Divorced,Urban,No,Average,No,Late Career,Working
124,56,Female,96087,VIP,34,1,Afternoon,Yes,Divorced,Suburban,No,Average,Yes,Late Career,Working
125,58,Female,84510,Basic,34,3,Afternoon,Yes,Divorced,Suburban,No,Poor,No,Late Career,Working
126,45,Male,102176,VIP,1,6,Afternoon,Yes,Single,Suburban,No,Average,Yes,Employed,Working
127,24,Male,37531,VIP,55,3,Afternoon,No,Married,Urban,Yes,Poor,Yes,Early Career,Working
128,26,Female,59349,Premium,25,6,Morning,No,Divorced,Suburban,No,Excellent,No,Early Career,Working
129,25,Male,38354,VIP,33,2,Afternoon,Yes,Single,Urban,Yes,Poor,No,Early Career,Working
130,29,Female,29239,Basic,31,1,Afternoon,No,Single,Urban,Yes,Average,Yes,Early Career,Working
131,51,Other,63562,Premium,48,4,Morning,Yes,Single,Urban,No,Excellent,Yes,Employed,Working
132,50,Male,74614,Basic,13,5,Evening,No,Single,Suburban,No,Average,Yes,Employed,Working
133,65,Male,109661,VIP,53,4,Evening,Yes,Married,Urban,No,Excellent,No,Late Career,Working
134,40,Female,45232,Premium,29,2,Evening,Yes,Divorced,Urban,No,Poor,No,Employed,Working
135,41,Other,76698,VIP,21,5,Evening,Yes,Single,Urban,No,Average,Yes,Employed,Working
136,54,Female,56621,Premium,15,4,Afternoon,No,Married,Urban,No,Average,Yes,Employed,Working
137,52,Female,61808,Premium,21,4,Afternoon,Yes,Divorced,Urban,No,Excellent,No,Employed,Working
138,61,Male,27951,VIP,51,5,Morning,Yes,Divorced,Suburban,No,Poor,Yes,Late Career,Working
139,57,Other,78285,Premium,34,6,Evening,Yes,Single,Rural,No,Poor,Yes,Late Career,Working
140,39,Male,102466,VIP,4,3,Afternoon,No,Divorced,Suburban,No,Poor,Yes,Employed,Working
141,44,Male,94912,VIP,43,4,Morning,Yes,Divorced,Suburban,No,Poor,Yes,Employed,Working
142,52,Female,65405,Premium,42,2,Afternoon,Yes,Married,Urban,No,Good,Yes,Employed,Working
143,18,Female,9523,Basic,50,6,Afternoon,Yes,Single,Rural,Yes,Good,Yes,Student,In Education
144,52,Male,95160,Basic,43,4,Evening,No,Married,Urban,No,Excellent,No,Employed,Working
145,54,Male,96928,Basic,7,1,Afternoon,No,Divorced,Suburban,No,Poor,Yes,Employed,Working
146,64,Male,81222,Premium,30,6,Afternoon,No,Divorced,Rural,No,Excellent,No,Late Career,Working
147,31,Male,85565,VIP,60,4,Evening,No,Married,Suburban,No,Good,No,Employed,Working
148,20,Male,17436,Basic,45,4,Evening,No,Single,Urban,Yes,Excellent,Yes,Student,In Education
149,18,Other,19036,Basic,35,6,Afternoon,No,Divorced,Urban,Yes,Excellent,Yes,Student,In Education
150,22,Female,20228,Basic,18,4,Evening,Yes,Married,Urban,Yes,Good,Yes,Student,In Education
151,43,Female,76514,Basic,35,2,Afternoon,Yes,Single,Suburban,No,Average,No,Employed,Working
152,31,Female,53578,Premium,31,4,Evening,Yes,Single,Suburban,No,Good,Yes,Employed,Working
153,56,Female,57932,Premium,1,2,Afternoon,No,Single,Rural,No,Excellent,Yes,Late Career,Working
154,44,Female,60599,Premium,48,2,Morning,No,Divorced,Urban,No,Poor,No,Employed,Working
155,26,Female,19464,Basic,58,6,Evening,Yes,Single,Rural,Yes,Excellent,Yes,Early Career,Working
156,32,Male,71453,VIP,39,4,Morning,No,Divorced,Rural,No,Excellent,Yes,Employed,Working
157,32,Female,57519,Premium,11,4,Afternoon,No,Single,Urban,No,Poor,Yes,Employed,Working
158,43,Female,59970,Premium,5,4,Afternoon,No,Married,Urban,No,Excellent,No,Employed,Working
159,59,Female,101229,VIP,55,4,Evening,No,Single,Suburban,No,Average,No,Late Career,Working
160,30,Other,42274,Basic,35,2,Evening,No,Divorced,Suburban,No,Average,No,Early Career,Working
161,68,Male,75020,VIP,27,2,Morning,Yes,Married,Urban,No,Average,Yes,Retired,Retired
162,49,Female,76172,VIP,2,6,Morning,Yes,Married,Urban,No,Excellent,Yes,Employed,Working
163,56,Male,104755,Basic,49,4,Evening,No,Married,Rural,No,Excellent,No,Late Career,Working
164,66,Female,45638,VIP,30,2,Evening,No,Single,Urban,No,Excellent,No,Retired,Retired
165,69,Male,56061,Premium,54,1,Evening,Yes,Divorced,Urban,No,Good,Yes,Retired,Retired
166,49,Male,90776,VIP,11,3,Afternoon,No,Married,Rural,No,Poor,Yes,Employed,Working
167,21,Male,27025,Basic,49,5,Morning,Yes,Divorced,Suburban,Yes,Excellent,No,Student,In Education
168,47,Female,71397,Basic,47,6,Afternoon,No,Divorced,Suburban,No,Excellent,Yes,Employed,Working
169,54,Male,101458,VIP,22,3,Evening,No,Divorced,Suburban,No,Average,No,Employed,Working
170,40,Female,87655,VIP,19,3,Afternoon,Yes,Single,Suburban,No,Good,No,Employed,Working
171,56,Male,115435,VIP,19,5,Morning,No,Married,Suburban,No,Poor,No,Late Career,Working
172,62,Female,83926,Basic,6,4,Evening,Yes,Married,Rural,No,Poor,Yes,Late Career,Working
173,32,Female,53162,Premium,41,3,Evening,No,Divorced,Urban,No,Average,No,Employed,Working
174,60,Male,103164,VIP,58,4,Morning,No,Single,Urban,No,Poor,No,Late Career,Working
175,46,Male,61929,Basic,29,4,Morning,No,Divorced,Urban,No,Poor,Yes,Employed,Working
176,53,Female,72517,Basic,32,1,Afternoon,Yes,Divorced,Suburban,No,Excellent,No,Employed,Working
177,30,Female,35133,Basic,120,2,Evening,No,Married,Suburban,Yes,Good,Yes,Early Career,Working
178,49,Female,72764,Premium,41,5,Morning,Yes,Married,Urban,No,Poor,Yes,Employed,Working
179,24,Male,49015,Premium,37,5,Evening,Yes,Divorced,Urban,No,Poor,Yes,Early Career,Working
180,68,Female,69646,VIP,51,5,Afternoon,Yes,Married,Urban,No,Poor,Yes,Retired,Retired
181,39,Other,67365,VIP,22,2,Morning,No,Divorced,Urban,No,Average,Yes,Employed,Working
182,45,Male,86192,VIP,7,5,Morning,Yes,Divorced,Rural,No,Good,No,Employed,Working
183,19,Male,29866,Basic,29,3,Evening,No,Divorced,Suburban,Yes,Good,Yes,Student,In Education
184,59,Male,111179,Basic,40,7,Evening,No,Married,Urban,No,Average,No,Late Career,Working
185,62,Female,15631,VIP,40,6,Morning,No,Divorced,Urban,No,Average,No,Student,In Education
186,70,Female,31932,Basic,54,1,Morning,No,Single,Urban,Yes,Excellent,Yes,Retired,Retired
187,23,Male,31515,VIP,53,4,Evening,No,Single,Rural,Yes,Poor,Yes,Early Career,Working
188,45,Male,78374,VIP,27,4,Afternoon,Yes,Married,Suburban,No,Average,No,Employed,Working
189,45,Male,61895,Premium,10,1,Evening,Yes,Divorced,Rural,No,Good,Yes,Employed,Working
190,61,Male,76422,Premium,4,2,Evening,No,Married,Rural,No,Average,No,Late Career,Working
191,61,Male,135983,VIP,43,2,Afternoon,Yes,Married,Suburban,No,Good,Yes,Late Career,Working
192,37,Other,48231,Premium,43,5,Afternoon,No,Divorced,Rural,No,Good,Yes,Employed,Working
193,47,Male,59369,Premium,45,5,Evening,Yes,Divorced,Rural,No,Good,No,Employed,Working
194,28,Male,49147,Premium,20,3,Morning,No,Divorced,Urban,No,Good,No,Early Career,Working
195,45,Female,62661,Premium,44,4,Morning,No,Divorced,Suburban,No,Excellent,No,Employed,Working
196,42,Female,46683,Premium,26,5,Afternoon,Yes,Single,Suburban,No,Poor,Yes,Employed,Working
197,56,Female,107498,VIP,8,1,Evening,Yes,Married,Suburban,No,Excellent,No,Late Career,Working
198,50,Male,81846,VIP,46,2,Evening,Yes,Single,Urban,No,Poor,Yes,Employed,Working
199,18,Male,27951,Basic,45,7,Evening,Yes,Single,Urban,Yes,Poor,No,Student,In Education
200,44,Female,58266,Premium,55,2,Afternoon,No,Single,Urban,No,Good,Yes,Employed,Working
201,69,Female,79970,Basic,45,4,Afternoon,No,Divorced,Urban,No,Good,Yes,Retired,Retired
